Questions;Answer
¿Cuál es la capital de España?;Madrid
¿En qué año comenzó la Segunda Guerra Mundial?;1939
¿Quién escribió "Cien años de soledad"?;Gabriel García Márquez
¿Cuál es el río más largo del mundo?;El Amazonas
¿Cuántos continentes hay en el mundo?;Siete
¿Cuál es el país con mayor población del mundo?;China
¿Cómo se llama el proceso por el cual las plantas producen su propio alimento?;Fotosíntesis
¿Qué es el ADN?;El ácido desoxirribonucleico, portador de la información genética.
¿Cuántos planetas tiene el sistema solar?;Ocho
¿Qué instrumento se usa para medir la temperatura?;Termómetro